# bpm=135.9992
# duration=219.0803
beat	31.7881	1.0000
kick	31.7881	0.2064
onset	31.7881	0.1123
kick	31.9042	0.6230
onset	31.9507	0.3596
snare	31.9971	0.2912
hat	31.9971	0.6120
onset	32.0203	0.1228
snare	32.2061	0.5584
hat	32.2061	0.4796
beat	32.2293	1.0000
snare	32.4151	0.3270
hat	32.4151	0.3796
kick	32.5079	0.2968
onset	32.5079	0.1511
beat	32.6473	1.0000
snare	32.6473	0.7225
onset	32.6473	0.2161
kick	32.6705	0.2219
onset	32.8098	0.2247
kick	32.8330	0.8762
hat	32.8562	0.4746
snare	32.8795	0.3024
hat	33.0652	0.3130
beat	33.0884	1.0000
onset	33.0884	0.1629
hat	33.2045	0.1873
onset	33.2045	0.1765
kick	33.2742	0.4332
onset	33.2742	0.2479
hat	33.2974	0.2727
snare	33.3206	0.5529
onset	33.4135	0.1977
snare	33.5064	0.4395
hat	33.5064	0.3077
beat	33.5528	1.0000
kick	33.6457	0.4232
onset	33.6689	0.3688
snare	33.7386	0.3154
hat	33.7386	0.6182
kick	33.8547	0.6572
snare	33.8547	0.1920
beat	33.9476	1.0000
snare	33.9476	0.6170
hat	33.9476	0.5309
onset	33.9476	0.3392
kick	33.9708	0.2889
hat	34.0637	0.2649
kick	34.1566	0.5630
snare	34.1566	0.2395
onset	34.1566	0.5181
hat	34.1798	0.3155
snare	34.3888	0.3590
hat	34.3888	0.2492
beat	34.4352	1.0000
kick	34.4352	0.3751
snare	34.4816	0.1816
onset	34.5513	0.4233
snare	34.5977	0.3331
hat	34.5977	0.4205
kick	34.6210	0.5275
snare	34.8067	0.2064
hat	34.8067	0.4844
kick	34.8299	0.5159
hat	34.9228	0.2302
beat	34.9460	1.0000
onset	34.9460	0.2379
kick	35.0157	0.4230
onset	35.0157	0.2895
hat	35.0389	0.4709
snare	35.2479	0.3644
hat	35.2479	0.4701
beat	35.2711	1.0000
onset	35.2711	0.2044
onset	35.3640	0.4939
kick	35.4337	0.6008
snare	35.4569	0.1859
hat	35.4569	0.5062
onset	35.4801	0.1539
snare	35.5962	0.1488
onset	35.6194	0.3387
snare	35.6891	0.4711
hat	35.6891	0.3086
kick	35.7123	0.2328
beat	35.8052	1.0000
onset	35.8052	0.3117
kick	35.9213	0.2441
snare	35.9213	0.3453
hat	35.9213	0.3196
hat	36.1070	0.3958
beat	36.1302	1.0000
snare	36.1302	0.2319
